Version,College Name,Location,Date,No of Participants Attended,No of Sessions,Session Duration,Usage
online,Virtual Labs,Krishna Institute of Engineering and Technology,2016-03-03,263,3,01:00,1200
online,Virtual Labs,Mangalmay Institute of Technology,2016-03-04,85,2,01:00,1213
online,Virtual Labs,St Soldier Institute of Engineering and Technology,2016-03-04,240,3,01:00,1560
online,Virtual Labs,The Northcap University,2016-03-08,219,4,01:00,1752
online,Virtual Labs,Dronacharya Group of Institutions,2016-03-08,187,3,01:00,6036
online,Virtual Labs,ITS Engineering College,2016-03-09,571,5,01:00,571
online,Virtual Labs,Malwa Institute of Technology and Managment,2016-03-10,105,2,01:00,1500
online,Virtual Labs,Ram Nath Singh College RNS,2016-03-11,90,2,01:00,1300
online,Virtual Labs,Ludhiana College of Engineering and Technology,2016-03-11,93,2,01:00,120
online,Virtual Labs,JB Institute of Technology,2016-03-17,316,4,01:00,6000
online,Virtual Labs,Dronacharya College of Engineering,2014-11-12,230,3,01:00,230
online,Virtual Labs,Panipat Institute of Engineering and Technology,2014-11-21,200,2,01:00,5985
online,Virtual Labs,Poornima Institute of Engineering and Technology,2015-09-11,380,4,01:00,1705
online,MGIT Vlabs,"MGIT,Rangareddy",2016-03-29,60,1,02:00,870
online,Sri Indu Vlabs,"Sri Indu, Rangareddy",2016-03-30,139,2,02:00,2740
online,ACE Vlabs,"ACE, Rangareddy",2016-04-01,103,2,02:00,1760
online,JNTUHS  Vlabs,"JNTUHS, Medak",2016-04-02,92,2,02:00,1025
online,Virtual Labs,University of Petroleum and Energy Studies,2016-03-28,348,4,01:00,6000
online,Virtual Labs,DAV Institute of Engineering and Technology,2016-03-29,300,3,01:00,300
online,Virtual Labs,DAV Institute of Engineering and Technology,2016-03-30,206,3,01:00,206
online,Virtual Labs,Indore Institute of Science and Technology,2016-03-31,148,2,01:00,2000
online,Virtual Labs,Indore Institute of Science and Technology,2016-04-01,190,2,01:00,1600
online,Virtual Labs,NRI Institute of Research and Technology,2016-04-05,200,3,01:00,1524
online,Workshop on Virtual Labs,"College of Engineering, Pandharpur",2015-12-17,102,4,02:00,510
online,Workshop on Virtual Labs,"K K wagh Institute of Engg edu and research, Nashik",2015-10-05,100,4,02:00,450
online,Workshop on Virtual Labs,KIT College of Engg Kolhapur,2015-08-22,27,4,01:30,540
online,Workshop on Virtual Labs,"VPM Maharshi Parshuram COE, Velneshwar",2016-02-13,62,6,01:30,306
online,Workshop on Virtual Labs,"G H Raisoni College of Engg and Tech, Wagholi",2015-07-26,22,2,02:00,176
